assumed_quantum_runtime,assumed_classical_runtime,meaningful_domain_max,name,speedup_coarse,description,meaningful_domain,meaningful_domain_min
O(n**3),2**( O(n**(1/3))),150000,Factoring,Superpolynomial,"Given an <i>n</i>-bit integer, find the prime\nfactorization. The quantum algorithm of Peter Shor solves this in\n\\( \\widetilde{O} (n^3) \\) time\n[<a href=""#Shor_factoring"">82</a>,<a href=""#Shor_factoring94"">125</a>]. \nThe fastest known classical algorithm for integer factorization is the\ngeneral number field sieve, which is believed to run in time \\(\n2^{\\widetilde{O}(n^{1/3})} \\). The best rigorously proven upper bound\non the classical complexity of factoring is \\( O(2^{n/4+o(1)}) \\) via the Pollard-Strassen algorithm \n[<a href=""#Pol"">252</a>, <a href=""#Stras"">362</a>]. Shor\'s\nfactoring algorithm breaks RSA public-key encryption and the\nclosely related quantum algorithms for discrete logarithms break the DSA\nand ECDSA digital signature schemes and the Diffie-Hellman\nkey-exchange protocol. A quantum algorithm even faster than Shor\'s for\nthe special case of factoring &ldquo;semiprimes&rdquo;, which are\nwidely used in cryptography, is given in [<a href=""#GLFB15"">271</a>]. \nIf small factors exist, Shor\'s algorithm can be beaten by a quantum \nalgorithm using Grover search to speed up the elliptic curve factorization \nmethod [<a href=""#PQRSA"">366</a>]. Additional optimized versions of Shor\'s algorithm are given in [<a href=""#EH17"">384</a>, <a href=""#BBM17"">386</a>]. There are proposed classical public-key \ncryptosystems not believed to be broken by quantum algorithms, <i>cf.</i> \n[<a href=""#BBD09"">248</a>]. At the core of Shor\'s factoring algorithm is \norder finding, which can be reduced to the <a href=""#abelian_HSP"">Abelian hidden subgroup problem</a>, \nwhich is solved using the quantum Fourier transform. A number of other \nproblems are known to reduce  to integer factorization including the \nmembership problem for matrix groups over fields of odd order \n[<a href=""#BBS09"">253</a>], and certain diophantine problems relevant to \nthe synthesis of quantum circuits [<a href=""#RS12"">254</a>].\n","[100000, 150000]",100000
,,,Discrete-log,Superpolynomial,"We are given three <i>n</i>-bit\nnumbers <i>a</i>, <i>b</i>, and <i>N</i>, with the promise that \n\\( b = a^s \\mod N \\) for some <i>s</i>. The task is to find <i>s</i>.\nAs shown by Shor [<a href=""#Shor_factoring"">82</a>], this can be achieved\non a quantum computer in poly(<i>n</i>) time. The fastest known\nclassical algorithm requires time superpolynomial in <i>n</i>. By similar\ntechniques to those in [<a href=""#Shor_factoring"">82</a>], quantum computers\ncan solve the discrete logarithm problem on elliptic curves, thereby breaking\nelliptic curve cryptography [<a href=""#Zalka_ellip"">109</a>, <a href=""#BL95"">14</a>]. A further optimization to Shor\'s algorithm is given in [<a href=""#E17"">385</a>]. The superpolynomial quantum speedup has also been extended to the discrete\nlogarithm problem on semigroups [<a href=""#Childs_Ivanyos"">203</a>,\n<a href=""#Banin_Tsaban"">204</a>]. See also <a href=""#abelian_HSP"">Abelian hidden subgroup</a>.\n",,
,,,Pell\'s Equation,Superpolynomial,"Given a positive nonsquare integer <i>d</i>,\nPell\'s equation is \\( x^2 - d y^2 = 1 \\). For any such <i>d</i>\nthere are infinitely many pairs of integers (<i>x,y</i>)\nsolving this equation. Let \\( (x_1,y_1) \\) be the pair that minimizes \n\\( x+y\\sqrt{d} \\). If <i>d</i> is an <i>n</i>-bit integer\n(<i>i.e.</i> \\( 0 \\leq d \\lt 2^n \\) ), \\( (x_1,y_1) \\)\n may in general require exponentially many bits to write down. Thus it\n is in general impossible to find \\( (x_1,y_1) \\) in polynomial time. \n Let \\( R = \\log(x_1+y_1 \\sqrt{d}) \\). \\( \\lfloor R \\rceil \\)\n uniquely identifies \\( (x_1,y_1) \\). As shown by Hallgren \n[<a href=""#Hallgren_Pell"">49</a>], given a <i>n</i>-bit number \n<i>d</i>, a quantum computer can find \\( \\lfloor R \\rceil \\)\n in poly(<i>n</i>) time. No polynomial time classical algorithm for\n this problem is known. Factoring reduces to this problem. This\n algorithm breaks the Buchman-Williams cryptosystem. See also <a href=""#abelian_HSP"">Abelian\n hidden subgroup</a>.\n",,
,,,Principal Ideal,Superpolynomial,"We are given an <i>n</i>-bit integer <i>d</i> and an\n invertible ideal <i>I</i>  of the ring \\( \\mathbb{Z}[\\sqrt{d}] \\). \n <i>I</i> is a principal ideal if there exists \\( \\alpha \\in \\mathbb{Q}(\\sqrt{d}) \\)\n such that \\( I = \\alpha \\mathbb{Z}[\\sqrt{d}] \\). \\( \\alpha \\) may be exponentially\n large in <i>d</i>. Therefore \\( \\alpha \\) cannot in general even be written down\n in polynomial time. However, \\( \\lfloor \\log \\alpha \\rceil \\)\n uniquely identifies \\( \\alpha \\). The task is to determine whether <i>I</i>\n is principal and if so find \\( \\lfloor \\log \\alpha \\rceil \\).\n As shown by Hallgren, this can be done in polynomial time on a quantum computer\n [<a href=""#Hallgren_Pell"">49</a>]. A modified quantum algorithm for this problem\n using fewer qubits was given in [<a href=""#Schmidt_PIP"">131</a>]. A quantum\n algorithm solving the principal ideal problem in number fields of arbitrary degree\n (<i>i.e.</i> scaling polynomially in the degree) was subsequently given in \n [<a href=""#Biasse_Song16"">329</a>]. Factoring reduces to solving Pell\'s equation,\n which reduces to the principal ideal problem. Thus the principal ideal problem\n is at least as hard as factoring  and therefore is probably not in P. See also\n <a href=""#abelian_HSP"">Abelian hidden subgroup</a>.\n",,
,,,Unit Group,Superpolynomial,"The number field \\( \\mathbb{Q}(\\theta) \\)\n is said to be of degree <i>d</i> if the lowest degree polynomial of which \n \\( \\theta \\) is a root has degree <i>d</i>. The set \\( \\mathcal{O} \\)\n of elements of \\( \\mathbb{Q}(\\theta) \\) which are roots of monic polynomials in\n \\( \\mathbb{Z}[x] \\) forms a ring, called the ring of integers of \n \\( \\mathbb{Q}(\\theta) \\). The set of units (invertible elements) of the ring \n \\( \\mathcal{O} \\) form a group denoted \\( \\mathcal{O}^* \\). As shown by\n Hallgren [<a href=""#Hallgren_unit"">50</a>], and independently by Schmidt and \n Vollmer [<a href=""#Schmidt"">116</a>], for any \\( \\mathbb{Q}(\\theta) \\)\n of fixed degree, a quantum computer can find in polynomial time a set\n of generators for \\( \\mathcal{O}^* \\) given a description of \\( \\theta \\).\n No polynomial time classical algorithm for this problem is known. Hallgren\n and collaborators subsequently discovered how to achieve polynomial scaling\n in the degree [<a href=""#EHKS14"">213</a>]. See also [<a href=""#Biasse_Song16"">329</a>].\n The algorithms rely on solving Abelian hidden subgroup problems over the additive\n group of real numbers.\n",,
,,,Class Group,Superpolynomial,"\n The number field \\( \\mathbb{Q}(\\theta) \\)\n is said to be of degree <i>d</i> if the lowest degree polynomial of which \n \\( \\theta \\) is a root has degree <i>d</i>. The set \\( \\mathcal{O} \\)\n of elements of \\( \\mathbb{Q}(\\theta) \\) which are roots of monic polynomials in\n \\( \\mathbb{Z}[x] \\) forms a ring, called the ring of integers of \n \\( \\mathbb{Q}(\\theta) \\).\n For a ring, the ideals modulo the prime ideals form a group called the class group. \n As shown by Hallgren [<a href=""#Hallgren_unit"">50</a>], a quantum computer can find in\n a set of generators for the class group of the ring of\n integers of any constant degree number field, given a description of \\( \\theta \\) in time\n poly(log(\\( | \\mathcal{O} | \\))). An improved quantum algorithm, whose runtime is also\n polynomial in <i>d</i> was subsequently given in [<a href=""#Biasse_Song16"">329</a>].\n No polynomial time classical algorithm for these problems are known. See also <a href=""#abelian_HSP"">Abelian\n hidden subgroup</a>. \n",,
,,,Gauss Sums,Superpolynomial,"Let \\( \\mathbb{F}_q \\) be a finite field. The elements other\n than zero of \\( \\mathbb{F}_q \\) form a group \\( \\mathbb{F}_q^\\times \\) under\n multiplication, and the elements of \\( \\mathbb{F}_q \\) form an (Abelian but \n not necessarily cyclic) group \\( \\mathbb{F}_q^+ \\) under addition. We can choose \n some character \\(  \\chi^\\times \\) of \\( \\mathbb{F}_q^\\times \\) and some \n character \\( \\chi^+ \\) of \\( \\mathbb{F}_q^+ \\). The corresponding Gauss sum\n is the inner product of these characters: \n \\( \\sum_{x \\neq 0 \\in \\mathbb{F}_q} \\chi^+(x) \\chi^\\times(x) \\)\n As shown by van Dam and Seroussi [<a href=""#vanDam_Gauss"">90</a>], Gauss sums\n can be estimated to polynomial precision on a quantum computer in polynomial\n time. Although a finite ring does not form a group under\n multiplication, its set of units does. Choosing a representation for\n the additive group of the ring, and choosing a representation for the\n multiplicative group of its units, one can obtain a Gauss sum over\n the units of a finite ring. These can also be estimated to polynomial\n precision on a quantum computer in polynomial \n time [<a href=""#vanDam_Gauss"">90</a>]. No polynomial time\n classical algorithm for estimating Gauss sums is known. Discrete log\n reduces to Gauss sum estimation [<a href=""#vanDam_Gauss"">90</a>]. Certain partition\n functions of  the Potts model can be computed by a polynomial-time quantum  algorithm\n related to Gauss sum estimation [<a href=""#Geraci_exact"">47</a>].\n",,
O(n**(3/8)),O(n**(9/8)),,Solving Exponential Congruences,Polynomial,"\n We are given \\( a,b,c,f,g \\in \\mathbb{F}_q \\). We must find integers \\(x,y\\)\n such that \\( a f^x + b g^y = c \\). As shown in [<a href=""#VDS08"">111</a>],\n quantum computers can solve this problem in \\( \\widetilde{O}(q^{3/8}) \\) time whereas the best\n classical algorithm requires \\( \\widetilde{O}(q^{9/8}) \\) time. The quantum algorithm of \n [<a href=""#VDS08"">111</a>] is based on the quantum algorithms for discrete logarithms \n and searching.\n",,
,,,Matrix Elements of Group Representations,Superpolynomial,"All representations of finite groups and compact linear\ngroups can be expressed as unitary matrices given an appropriate choice of\nbasis. Conjugating the regular representation of a group by the\nquantum Fourier transform circuit over that group yields a direct sum\nof the group\'s irreducible representations. Thus, the efficient\nquantum Fourier transform over the symmetric\ngroup [<a href=""#Beals_general"">196</a>], together with the Hadamard\ntest, yields a fast quantum algorithm for additively approximating\nindividual matrix elements of the arbitrary irreducible \nrepresentations of \\( S_n \\). Similarly, using the quantum Schur\ntransform [<a href=""#Schur"">197</a>], one can efficiently approximate matrix elements of\nthe irreducible representations of SU(n) that have polynomial weight.\nDirect implementations of individual irreducible representations for\nthe groups U(n), SU(n), SO(n), and \\( A_n \\) by efficient quantum\ncircuits are given in [<a href=""#SPJ08"">106</a>]. Instances that appear\nto be exponentially hard for known classical algorithms are also\nidentified in [<a href=""#SPJ08"">106</a>].",,
O(n**(5/3)),O(n**(2.373)),,Verifying Matrix Products,Polynomial,"Given three \\( n \\times n \\) matrices, <i>A,B</i>, and <i>C</i>,\n the matrix product verification problem is to decide whether <i>AB=C</i>.\n Classically, the best known algorithm achieves this in time \\( O(n^2) \\),\n whereas the best known classical algorithm for matrix multiplication runs in time \n \\( O(n^{2.373}) \\). Ambainis <i>et al.</i> discovered a quantum algorithm for this\n problem with runtime \\( O(n^{7/4}) \\) [<a href=""#Ambainis_matrix"">6</a>]. Subsequently,\n Buhrman and &#352;palek improved upon this, obtaining a quantum algorithm for this\n problem with runtime \\( O(n^{5/3}) \\) [<a  href=""#Buhrman_matrix"">19</a>]. This latter \n algorithm is based on results regarding quantum walks that were proven in \n [<a href=""#Szegedy"">85</a>]. \n",,
